Tamanho,Algoritmo,Tipo de ordenação,Duração,Duração (ms),Iterações
1000,Merge sort,Ordenado,27.04µs,0.027081,11975
1000,Heap sort,Ordenado,30.56µs,0.030587,10708
1000,Quick sort,Ordenado,7.77µs,0.007785,9010
1000,Quick sort melhorado,Ordenado,5.20µs,0.00522,9520
1000,Merge sort,Invertido,25.55µs,0.025579,11975
1000,Heap sort,Invertido,43.45µs,0.043473,9316
1000,Quick sort,Invertido,16.09µs,0.016111,9531
1000,Quick sort melhorado,Invertido,7.27µs,0.007293,9527
1000,Merge sort,Quase ordenado,36.94µs,0.03697,11975
1000,Heap sort,Quase ordenado,49.86µs,0.049894,10604
1000,Quick sort,Quase ordenado,15.76µs,0.01578,9901
1000,Quick sort melhorado,Quase ordenado,13.20µs,0.013225,10790
1000,Merge sort,Aleatório,50.13µs,0.050145,11975
1000,Heap sort,Aleatório,41.18µs,0.041208,10047
1000,Quick sort,Aleatório,29.44µs,0.029456,13508
1000,Quick sort melhorado,Aleatório,33.11µs,0.033142,14251
10000,Merge sort,Ordenado,285.33µs,0.28536,153615
10000,Heap sort,Ordenado,374.77µs,0.3748,141956
10000,Quick sort,Ordenado,73.77µs,0.0738,125440
10000,Quick sort melhorado,Ordenado,56.63µs,0.056657,131343
10000,Merge sort,Invertido,278.63µs,0.278647,153615
10000,Heap sort,Invertido,393.53µs,0.393546,126696
10000,Quick sort,Invertido,96.61µs,0.096633,130219
10000,Quick sort melhorado,Invertido,49.82µs,0.049845,131357
10000,Merge sort,Quase ordenado,364.12µs,0.364149,153615
10000,Heap sort,Quase ordenado,405.99µs,0.406009,140049
10000,Quick sort,Quase ordenado,158.81µs,0.158831,136775
10000,Quick sort melhorado,Quase ordenado,151.08µs,0.151096,144810
10000,Merge sort,Aleatório,610.71µs,0.610736,153615
10000,Heap sort,Aleatório,566.96µs,0.566984,134138
10000,Quick sort,Aleatório,354.50µs,0.354521,161766
10000,Quick sort melhorado,Aleatório,381.55µs,0.381573,184841
50000,Merge sort,Ordenado,1.56ms,1.562709,884463
50000,Heap sort,Ordenado,1.95ms,1.952728,823304
50000,Quick sort,Ordenado,444.76µs,0.444792,750016
50000,Quick sort melhorado,Ordenado,329.36µs,0.329393,782782
50000,Merge sort,Invertido,1.57ms,1.570503,884463
50000,Heap sort,Invertido,2.07ms,2.067424,748892
50000,Quick sort,Invertido,516.62µs,0.516648,769169
50000,Quick sort melhorado,Invertido,286.24µs,0.286272,782795
50000,Merge sort,Quase ordenado,2.13ms,2.133069,884463
50000,Heap sort,Quase ordenado,2.29ms,2.29211,817409
50000,Quick sort,Quase ordenado,932.23µs,0.932245,811538
50000,Quick sort melhorado,Quase ordenado,883.62µs,0.883644,868281
50000,Merge sort,Aleatório,3.48ms,3.484948,884463
50000,Heap sort,Aleatório,3.15ms,3.150956,787559
50000,Quick sort,Aleatório,2.05ms,2.051354,1001851
50000,Quick sort melhorado,Aleatório,2.18ms,2.184005,1060582
100000,Merge sort,Ordenado,3.23ms,3.233843,1868927
100000,Heap sort,Ordenado,4.03ms,4.034369,1750854
100000,Quick sort,Ordenado,941.69µs,0.941713,1600017
100000,Quick sort melhorado,Ordenado,566.18µs,0.566212,1665551
100000,Merge sort,Invertido,3.26ms,3.259972,1868927
100000,Heap sort,Invertido,4.25ms,4.248874,1597434
100000,Quick sort,Invertido,1.07ms,1.070447,1638970
100000,Quick sort melhorado,Invertido,604.71µs,0.604735,1665565
100000,Merge sort,Quase ordenado,4.50ms,4.495072,1868927
100000,Heap sort,Quase ordenado,4.73ms,4.725657,1734117
100000,Quick sort,Quase ordenado,2.15ms,2.148799,1757096
100000,Quick sort melhorado,Quase ordenado,1.80ms,1.801993,1848263
100000,Merge sort,Aleatório,7.35ms,7.35245,1868927
100000,Heap sort,Aleatório,6.76ms,6.759359,1675054
100000,Quick sort,Aleatório,4.34ms,4.340929,2092802
100000,Quick sort melhorado,Aleatório,4.57ms,4.566607,2239146
500000,Merge sort,Ordenado,17.71ms,17.707397,10475711
500000,Heap sort,Ordenado,22.49ms,22.48809,9855700
500000,Quick sort,Ordenado,5.62ms,5.622065,9000019
500000,Quick sort melhorado,Ordenado,3.15ms,3.150064,9262161
500000,Merge sort,Invertido,17.38ms,17.37615,10475711
500000,Heap sort,Invertido,21.97ms,21.966432,9168450
500000,Quick sort,Invertido,5.82ms,5.821464,9317204
500000,Quick sort melhorado,Invertido,2.89ms,2.891735,9262177
500000,Merge sort,Quase ordenado,24.04ms,24.037654,10475711
500000,Heap sort,Quase ordenado,26.08ms,26.077156,9791198
500000,Quick sort,Quase ordenado,12.18ms,12.17864,10176765
500000,Quick sort melhorado,Quase ordenado,10.60ms,10.595672,10602643
500000,Merge sort,Aleatório,41.82ms,41.820095,10475711
500000,Heap sort,Aleatório,39.74ms,39.743011,9524331
500000,Quick sort,Aleatório,24.66ms,24.655774,13173377
500000,Quick sort melhorado,Aleatório,25.81ms,25.806003,13471103
1000000,Merge sort,Ordenado,36.58ms,36.578879,21951423
1000000,Heap sort,Ordenado,43.97ms,43.969604,20787792
1000000,Quick sort,Ordenado,10.57ms,10.565165,19000020
1000000,Quick sort melhorado,Ordenado,5.71ms,5.71417,19524306
1000000,Merge sort,Invertido,38.82ms,38.816137,21951423
1000000,Heap sort,Invertido,45.93ms,45.932641,19333408
1000000,Quick sort,Invertido,11.80ms,11.795624,19635911
1000000,Quick sort melhorado,Invertido,5.98ms,5.97799,19524323
1000000,Merge sort,Quase ordenado,51.75ms,51.747822,21951423
1000000,Heap sort,Quase ordenado,56.26ms,56.258994,20615789
1000000,Quick sort,Quase ordenado,23.50ms,23.495628,20841164
1000000,Quick sort melhorado,Quase ordenado,20.58ms,20.583594,22101423
1000000,Merge sort,Aleatório,87.49ms,87.488304,21951423
1000000,Heap sort,Aleatório,89.32ms,89.317277,20049140
1000000,Quick sort,Aleatório,51.42ms,51.42497,26149949
1000000,Quick sort melhorado,Aleatório,52.07ms,52.072698,27762912
1000,Selection sort,Ordenado,283.26µs,0.283314,500500
1000,Selection sort melhorado,Ordenado,265.16µs,0.265201,251000
1000,Selection sort,Invertido,360.37µs,0.36041,500500
1000,Selection sort melhorado,Invertido,309.84µs,0.309885,251000
1000,Selection sort,Quase ordenado,370.03µs,0.370069,500500
1000,Selection sort melhorado,Quase ordenado,312.48µs,0.31253,251000
1000,Selection sort,Aleatório,409.64µs,0.409684,500500
1000,Selection sort melhorado,Aleatório,391.59µs,0.39163,251000
10000,Selection sort,Ordenado,26.74ms,26.741782,50005000
10000,Selection sort melhorado,Ordenado,18.12ms,18.116112,25010000
10000,Selection sort,Invertido,24.68ms,24.684619,50005000
10000,Selection sort melhorado,Invertido,19.25ms,19.253319,25010000
10000,Selection sort,Quase ordenado,22.16ms,22.160595,50005000
10000,Selection sort melhorado,Quase ordenado,18.00ms,17.997919,25010000
10000,Selection sort,Aleatório,22.51ms,22.510095,50005000
